Layer,Context_Level,Most_Important_Test_Feature,Prompt_1_Most_Important_Test_Feature,Prompt_2_Most_Important_Test_Feature,Prompt_3_Most_Important_Test_Feature,Prompt_4_Most_Important_Test_Feature,Prompt_5_Most_Important_Test_Feature,Prompt_6_Most_Important_Test_Feature,Prompt_7_Most_Important_Test_Feature,Prompt_8_Most_Important_Test_Feature,Prompt_9_Most_Important_Test_Feature,Prompt_10_Most_Important_Test_Feature
0,25,192.4,255.4,264.8,357.6,408.8,271.6,182.0,227.2,301.2,221.2,169.6
0,50,246.0,354.6,274.4,255.2,262.4,183.0,158.4,263.6,287.8,294.4,236.4
0,75,238.2,271.4,342.2,165.0,247.4,340.0,247.6,136.2,267.4,228.6,250.6
0,100,364.8,258.0,337.2,198.0,362.4,375.8,204.0,416.2,278.2,410.8,183.8
0,125,272.6,264.2,236.4,380.2,157.2,369.4,183.4,330.4,295.8,263.8,254.8
0,150,238.6,370.0,316.0,171.8,302.8,254.6,317.4,277.0,228.8,175.8,235.0
0,175,186.4,273.2,152.8,361.4,249.0,250.4,295.8,278.4,308.8,210.6,246.4
0,200,167.4,222.4,218.2,199.8,335.4,285.8,180.6,86.4,401.6,333.4,129.4
0,225,216.0,165.0,165.2,306.4,288.2,201.2,211.8,338.0,341.4,205.8,254.2
0,250,270.2,294.0,182.6,215.2,217.2,376.2,167.2,370.8,285.8,259.8,287.6
0,275,185.2,223.4,160.4,249.8,313.4,319.0,114.8,348.0,172.2,314.8,241.0
0,300,158.4,121.2,224.4,245.2,349.2,204.0,271.6,218.6,213.6,167.8,155.0
0,325,297.4,120.6,357.2,177.8,305.8,300.8,226.4,221.8,225.2,189.6,142.0
0,350,293.8,178.0,199.6,227.8,282.0,255.4,331.8,287.6,187.0,286.4,312.2
0,375,240.4,110.0,201.6,275.6,306.6,221.6,229.4,198.6,120.0,254.2,266.6
0,400,280.2,302.0,263.2,161.2,325.2,345.6,158.2,224.2,238.8,203.4,370.8
1,25,285.6,274.6,327.8,143.6,221.8,317.6,176.0,283.2,244.2,300.4,288.4
1,50,289.6,260.8,147.4,265.2,262.6,193.0,203.8,161.2,272.0,286.0,217.0
1,75,199.2,308.0,233.8,307.6,248.4,187.2,310.0,310.2,257.6,271.8,242.2
1,100,318.8,224.0,298.6,195.8,219.4,176.4,413.6,148.0,323.4,346.0,296.8
1,125,180.4,268.4,41.6,222.8,215.6,143.8,204.4,165.6,311.6,251.8,227.2
1,150,244.6,287.2,243.4,263.6,238.4,288.2,279.0,271.6,275.4,374.0,346.0
1,175,289.0,224.6,281.6,274.4,288.4,210.8,226.4,66.6,275.8,276.0,293.4
1,200,289.0,165.6,264.2,265.6,356.8,319.0,304.4,156.2,295.6,147.0,358.8
1,225,299.2,339.8,208.8,225.2,183.2,214.4,275.4,220.2,304.8,264.0,365.6
1,250,343.0,198.6,312.6,316.2,201.4,333.2,362.6,207.6,226.2,267.0,297.2
1,275,276.8,171.2,293.0,274.0,148.2,166.0,329.6,142.2,235.4,152.2,352.0
1,300,164.6,231.8,197.2,229.8,277.0,362.2,292.0,275.4,297.6,143.4,349.0
1,325,306.6,211.2,306.4,187.2,202.4,347.2,178.8,353.0,220.2,263.8,321.8
1,350,339.8,312.4,197.2,237.2,309.4,220.4,254.4,243.0,175.8,290.0,216.4
