Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy,Prompt_3_Train_Accuracy,Prompt_3_Test_Accuracy,Prompt_4_Train_Accuracy,Prompt_4_Test_Accuracy,Prompt_5_Train_Accuracy,Prompt_5_Test_Accuracy,Prompt_6_Train_Accuracy,Prompt_6_Test_Accuracy,Prompt_7_Train_Accuracy,Prompt_7_Test_Accuracy,Prompt_8_Train_Accuracy,Prompt_8_Test_Accuracy,Prompt_9_Train_Accuracy,Prompt_9_Test_Accuracy,Prompt_10_Train_Accuracy,Prompt_10_Test_Accuracy
1,25,0.997875,0.4415,0.9975,0.475,0.9925,0.335,1.0,0.525,0.9975,0.36,1.0,0.51,1.0,0.425,0.99875,0.38,0.99875,0.465,0.995,0.385,0.99875,0.555
1,50,0.9872484060507564,0.3345,0.98875,0.36,0.9925,0.275,0.9875,0.4,0.98,0.23,0.9875,0.41,0.98375,0.305,0.9849812265331664,0.33,0.99625,0.34,0.9825,0.315,0.98875,0.38
1,75,0.7909738717339667,0.3165,0.79,0.37,0.75875,0.22,0.82125,0.325,0.76375,0.295,0.815,0.335,0.775,0.34,0.8060075093867334,0.365,0.7875,0.24,0.7675,0.32,0.825,0.355
1,100,0.91836479559945,0.2905,0.905,0.33,0.89375,0.24,0.92125,0.335,0.9175,0.285,0.935,0.275,0.925,0.285,0.9173967459324155,0.23,0.91875,0.285,0.925,0.295,0.925,0.345
1,125,0.7864733091636454,0.2755,0.76625,0.28,0.78625,0.275,0.8025,0.3,0.76125,0.22,0.81375,0.265,0.78375,0.305,0.7872340425531915,0.365,0.7825,0.215,0.7575,0.225,0.82375,0.305
1,150,0.9998747651847214,0.263631815907954,1.0,0.26,1.0,0.23,1.0,0.29,1.0,0.23,1.0,0.29,1.0,0.27,1.0,0.2562814070351759,1.0,0.245,0.99875,0.245,1.0,0.32
1,175,0.9835940480732545,0.2672413793103448,0.9772151898734177,0.2727272727272727,0.9845956354300385,0.24615384615384617,0.9861460957178841,0.2613065326633166,0.9794079794079794,0.22564102564102564,0.9873737373737373,0.3165829145728643,0.9846153846153847,0.2755102040816326,0.9833759590792839,0.2755102040816326,0.9884467265725289,0.2512820512820513,0.9748110831234257,0.2562814070351759,0.9899497487437185,0.29
1,200,0.9457581830327322,0.26066098081023453,0.9483443708609272,0.2275132275132275,0.9295580110497238,0.2265193370165746,0.9575289575289575,0.36923076923076925,0.9331476323119777,0.22777777777777777,0.9489528795811518,0.296875,0.9519230769230769,0.27472527472527475,0.9494535519125683,0.22404371584699453,0.9439890710382514,0.20108695652173914,0.9281129653401797,0.2512820512820513,0.9652061855670103,0.29743589743589743
1,225,0.9752644911339592,0.25133689839572193,0.9674074074074074,0.23076923076923078,0.9748427672955975,0.19375,0.9805555555555555,0.3111111111111111,0.9647435897435898,0.21794871794871795,0.9826589595375722,0.3275862068965517,0.9841269841269841,0.22151898734177214,0.9700787401574803,0.22012578616352202,0.9708588957055214,0.20121951219512196,0.9689703808180536,0.25842696629213485,0.986449864498645,0.3081081081081081
1,250,0.9842248413417951,0.2393347794649313,0.9872262773722628,0.21014492753623187,0.9838383838383838,0.13709677419354838,0.9887278582930756,0.2948717948717949,0.9715447154471545,0.24390243902439024,0.9896729776247849,0.2465753424657534,0.9772256728778468,0.2231404958677686,0.9820359281437125,0.21428571428571427,0.9846743295019157,0.16793893129770993,0.9807692307692307,0.30128205128205127,0.9922839506172839,0.30864197530864196
1,275,0.9015354618571777,0.23597678916827852,0.9117647058823529,0.2621359223300971,0.8517441860465116,0.08045977011494253,0.956,0.3253968253968254,0.8262195121951219,0.14634146341463414,0.9247787610619469,0.32456140350877194,0.875,0.21176470588235294,0.8760806916426513,0.26436781609195403,0.8776595744680851,0.12631578947368421,0.9226190476190477,0.2125984251968504,0.9330708661417323,0.3125
1,300,0.5853932584269663,0.20833333333333334,0.52734375,0.109375,0.4881516587677725,0.09433962264150944,0.8134110787172012,0.313953488372093,0.32222222222222224,0.043478260869565216,0.6301369863013698,0.2191780821917808,0.3786407766990291,0.1346153846153846,0.41935483870967744,0.16363636363636364,0.3565217391304348,0.10344827586206896,0.7397260273972602,0.391304347826087,0.7648648648648648,0.26881720430107525
1,325,0.4807692307692308,0.20680628272251309,0.3541666666666667,0.027777777777777776,0.01834862385321101,0.0,0.7277227722772277,0.2549019607843137,0.0,0.0,0.52,0.13636363636363635,0.1,0.038461538461538464,0.17117117117117117,0.03571428571428571,0.02631578947368421,0.0,0.8348214285714286,0.47368421052631576,0.9188034188034188,0.5084745762711864
1,350,1.0,0.22613065326633167,1.0,0.10526315789473684,1.0,0.07692307692307693,1.0,0.25,1.0,0.0,1.0,0.16666666666666666,1.0,0.1,1.0,0.08333333333333333,1.0,0.13333333333333333,1.0,0.45161290322580644,1.0,0.3611111111111111
1,375,0.3582887700534759,0.22,0.0,0.0,0.0,0.0,0.3333333333333333,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7213114754098361,0.25,1.0,0.8947368421052632
1,400,0.38,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.7777777777777778,0.8709677419354839,0.5
