Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy,Prompt_3_Train_Accuracy,Prompt_3_Test_Accuracy,Prompt_4_Train_Accuracy,Prompt_4_Test_Accuracy,Prompt_5_Train_Accuracy,Prompt_5_Test_Accuracy,Prompt_6_Train_Accuracy,Prompt_6_Test_Accuracy,Prompt_7_Train_Accuracy,Prompt_7_Test_Accuracy,Prompt_8_Train_Accuracy,Prompt_8_Test_Accuracy,Prompt_9_Train_Accuracy,Prompt_9_Test_Accuracy,Prompt_10_Train_Accuracy,Prompt_10_Test_Accuracy
0,2,0.271125,0.272,0.00125,0.0,0.0,0.0,0.59375,0.655,0.0075,0.0,0.9775,0.995,0.14,0.1,0.885,0.86,0.0,0.0,0.10625,0.11,0.0,0.0
0,25,0.31425,0.1975,0.32125,0.26,0.2625,0.135,0.27625,0.17,0.25375,0.175,0.36125,0.205,0.36375,0.26,0.2425,0.13,0.4325,0.305,0.29875,0.145,0.33,0.19
0,50,0.32079009876234527,0.1635,0.34875,0.2,0.265,0.1,0.31625,0.13,0.34125,0.14,0.3375,0.19,0.33375,0.17,0.2640801001251564,0.12,0.33125,0.23,0.31375,0.18,0.35625,0.175
0,75,0.32691586448306037,0.1605,0.29125,0.14,0.24625,0.1,0.3825,0.18,0.34875,0.19,0.3025,0.165,0.36,0.19,0.25406758448060074,0.085,0.43625,0.185,0.27625,0.14,0.37125,0.23
0,100,0.3226653331666458,0.1605,0.30375,0.145,0.345,0.17,0.4625,0.28,0.29875,0.16,0.2925,0.11,0.23375,0.09,0.3341677096370463,0.145,0.32,0.155,0.27875,0.16,0.3575,0.19
0,125,0.3195399424928116,0.1635,0.34625,0.17,0.35625,0.18,0.34125,0.165,0.22625,0.06,0.30375,0.13,0.30375,0.155,0.3642052565707134,0.28,0.31,0.15,0.30125,0.16,0.3425,0.185
0,150,0.32047589229805884,0.15457728864432216,0.2816020025031289,0.125,0.30125,0.15,0.36875,0.215,0.2848180677540778,0.115,0.29875,0.14,0.32957393483709274,0.12,0.3542713567839196,0.17587939698492464,0.33291457286432163,0.18,0.35875,0.175,0.29411764705882354,0.15
0,175,0.3168002034846751,0.16531440162271804,0.2645569620253165,0.17676767676767677,0.26957637997432604,0.1282051282051282,0.3677581863979849,0.1708542713567839,0.2972972972972973,0.1794871794871795,0.32575757575757575,0.16080402010050251,0.3128205128205128,0.1377551020408163,0.27877237851662406,0.10204081632653061,0.22978177150192555,0.1076923076923077,0.4521410579345088,0.2864321608040201,0.3655778894472362,0.2
0,200,0.321309285237141,0.15618336886993603,0.30596026490066225,0.1111111111111111,0.2886740331491713,0.11602209944751381,0.44144144144144143,0.31794871794871793,0.2938718662952646,0.08888888888888889,0.331151832460733,0.14583333333333334,0.41620879120879123,0.23626373626373626,0.29098360655737704,0.14207650273224043,0.25546448087431695,0.09239130434782608,0.2913992297817715,0.13333333333333333,0.29381443298969073,0.16923076923076924
0,225,0.3035315154224408,0.14795008912655971,0.20592592592592593,0.10059171597633136,0.23427672955974843,0.10625,0.5611111111111111,0.35555555555555557,0.15064102564102563,0.0641025641025641,0.29190751445086704,0.10919540229885058,0.3126984126984127,0.17721518987341772,0.24881889763779527,0.08176100628930817,0.2822085889570552,0.07926829268292683,0.2933709449929478,0.16292134831460675,0.4092140921409214,0.21081081081081082
0,250,0.3394378966455122,0.14895155459146783,0.32299270072992703,0.10144927536231885,0.2545454545454545,0.06451612903225806,0.4830917874396135,0.2692307692307692,0.21341463414634146,0.07317073170731707,0.3218588640275387,0.1506849315068493,0.2815734989648033,0.08264462809917356,0.3193612774451098,0.09523809523809523,0.3524904214559387,0.16030534351145037,0.34935897435897434,0.16666666666666666,0.4305555555555556,0.25925925925925924
0,275,0.34340726297830854,0.16054158607350097,0.24019607843137256,0.10679611650485436,0.25,0.04597701149425287,0.44,0.2857142857142857,0.2347560975609756,0.06097560975609756,0.43805309734513276,0.2543859649122807,0.19047619047619047,0.07058823529411765,0.14985590778097982,0.06896551724137931,0.2632978723404255,0.042105263157894736,0.44841269841269843,0.2047244094488189,0.5688976377952756,0.3046875
0,300,0.3550561797752809,0.14285714285714285,0.2578125,0.078125,0.23696682464454977,0.09433962264150944,0.6034985422740525,0.2441860465116279,0.1,0.0,0.3219178082191781,0.1232876712328767,0.04854368932038835,0.057692307692307696,0.1336405529953917,0.03636363636363636,0.11304347826086956,0.034482758620689655,0.6520547945205479,0.3804347826086957,0.5675675675675675,0.15053763440860216
0,325,0.4383289124668435,0.19109947643979058,0.3541666666666667,0.08333333333333333,0.27522935779816515,0.0,0.5544554455445545,0.23529411764705882,0.15789473684210525,0.0,0.4742857142857143,0.1590909090909091,0.23,0.07692307692307693,0.3963963963963964,0.10714285714285714,0.16666666666666666,0.034482758620689655,0.6294642857142857,0.43859649122807015,0.6111111111111112,0.3389830508474576
0,350,0.48982188295165396,0.17587939698492464,0.3918918918918919,0.05263157894736842,0.1568627450980392,0.0,0.5,0.07142857142857142,0.1590909090909091,0.0,0.6145833333333334,0.16666666666666666,0.2,0.0,0.21739130434782608,0.0,0.29310344827586204,0.0,0.5887096774193549,0.25806451612903225,0.8368794326241135,0.5555555555555556
0,375,0.5989304812834224,0.18,0.2702702702702703,0.0,0.4583333333333333,0.0,0.7592592592592593,0.21428571428571427,0.6086956521739131,0.0,0.4594594594594595,0.0,0.7368421052631579,0.2,0.4444444444444444,0.0,0.41379310344827586,0.125,0.6885245901639344,0.1875,0.7638888888888888,0.5263157894736842
0,400,0.7266666666666667,0.14285714285714285,0.5454545454545454,0.0,0.5454545454545454,0.0,0.75,0.0,0.6666666666666666,0.0,0.625,0.25,0.7142857142857143,0.0,0.6,0.0,0.7,0.0,0.8181818181818182,0.4444444444444444,0.8387096774193549,0.125
1,2,0.998875,0.997,0.9975,1.0,0.9975,1.0,0.99875,1.0,1.0,0.995,0.99875,1.0,0.99625,0.98,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0
1,25,1.0,0.4445,1.0,0.47,1.0,0.36,1.0,0.535,1.0,0.365,1.0,0.5,1.0,0.425,1.0,0.375,1.0,0.46,1.0,0.4,1.0,0.555
1,50,1.0,0.322,1.0,0.335,1.0,0.27,1.0,0.36,1.0,0.26,1.0,0.385,1.0,0.31,1.0,0.335,1.0,0.295,1.0,0.3,1.0,0.37
1,75,0.9991248906113264,0.3035,0.99875,0.34,1.0,0.235,1.0,0.295,0.9975,0.3,1.0,0.27,1.0,0.35,0.9974968710888611,0.37,1.0,0.24,0.99875,0.315,0.99875,0.32
1,100,0.9907488436054507,0.3,0.9875,0.32,0.99125,0.225,0.995,0.33,0.985,0.295,0.99375,0.35,0.985,0.335,0.9949937421777222,0.245,0.99375,0.265,0.98875,0.285,0.9925,0.35
1,125,0.997624703087886,0.275,0.995,0.3,0.99875,0.255,0.99875,0.315,0.99625,0.215,0.9975,0.255,0.99625,0.305,0.9974968710888611,0.35,1.0,0.22,0.99625,0.23,1.0,0.305
1,150,1.0,0.26413206603301653,1.0,0.295,1.0,0.22,1.0,0.3,1.0,0.23,1.0,0.28,1.0,0.25,1.0,0.2914572864321608,1.0,0.23,1.0,0.23,1.0,0.315
1,175,0.9417525117639578,0.263184584178499,0.9291139240506329,0.25757575757575757,0.9293966623876765,0.24102564102564103,0.9433249370277078,0.2562814070351759,0.9214929214929215,0.2153846153846154,0.9659090909090909,0.3015075376884422,0.9512820512820512,0.2857142857142857,0.9450127877237852,0.24489795918367346,0.938382541720154,0.2358974358974359,0.9332493702770781,0.2914572864321608,0.9597989949748744,0.3
1,200,0.9997327989311957,0.2622601279317697,1.0,0.21693121693121692,1.0,0.24861878453038674,1.0,0.38974358974358975,0.9986072423398329,0.22777777777777777,1.0,0.2916666666666667,0.9986263736263736,0.25824175824175827,1.0,0.25136612021857924,1.0,0.18478260869565216,1.0,0.26153846153846155,1.0,0.28205128205128205
1,225,0.9976158545671286,0.25430778371954843,0.9940740740740741,0.21301775147928995,0.9968553459119497,0.20625,0.9958333333333333,0.3111111111111111,0.9951923076923077,0.1987179487179487,0.9985549132947977,0.3390804597701149,1.0,0.22784810126582278,0.9984251968503937,0.20125786163522014,1.0,0.21951219512195122,0.998589562764457,0.2808988764044944,0.9986449864498645,0.31891891891891894
1,250,0.9983680870353581,0.22704266088214028,0.9981751824817519,0.15942028985507245,0.997979797979798,0.1693548387096774,1.0,0.28846153846153844,0.9959349593495935,0.21138211382113822,1.0,0.22602739726027396,0.9979296066252588,0.19834710743801653,0.9960079840319361,0.18253968253968253,0.9980842911877394,0.20610687022900764,0.9983974358974359,0.26282051282051283,1.0,0.32098765432098764
1,275,1.0,0.2205029013539652,1.0,0.2621359223300971,1.0,0.10344827586206896,1.0,0.2857142857142857,1.0,0.13414634146341464,1.0,0.2719298245614035,1.0,0.2,1.0,0.26436781609195403,1.0,0.09473684210526316,1.0,0.23622047244094488,1.0,0.2734375
1,300,0.99812734082397,0.19642857142857142,1.0,0.140625,0.995260663507109,0.09433962264150944,1.0,0.26744186046511625,1.0,0.10869565217391304,1.0,0.2602739726027397,0.9951456310679612,0.15384615384615385,0.9953917050691244,0.18181818181818182,0.9956521739130435,0.13793103448275862,1.0,0.2717391304347826,0.9972972972972973,0.21505376344086022
1,325,1.0,0.25654450261780104,1.0,0.19444444444444445,1.0,0.07142857142857142,1.0,0.35294117647058826,1.0,0.125,1.0,0.22727272727272727,1.0,0.15384615384615385,1.0,0.32142857142857145,1.0,0.10344827586206896,1.0,0.40350877192982454,1.0,0.3220338983050847
1,350,0.9949109414758269,0.21105527638190955,1.0,0.05263157894736842,0.9803921568627451,0.0,1.0,0.21428571428571427,0.9772727272727273,0.0,1.0,0.125,0.975,0.0,0.9782608695652174,0.08333333333333333,1.0,0.06666666666666667,1.0,0.45161290322580644,1.0,0.4444444444444444
1,375,1.0,0.19,1.0,0.0,1.0,0.0,1.0,0.2857142857142857,1.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,1.0,0.125,1.0,0.25,1.0,0.47368421052631576
