Context Level,Accuracy
1,0.688
2,0.8055
3,0.842
4,0.8625
5,0.8755
6,0.88
7,0.8855
8,0.894
9,0.907
10,0.9075
11,0.9145
12,0.917
13,0.916
14,0.9175
15,0.917
16,0.9235
17,0.9155
18,0.9115
19,0.916
20,0.9205
21,0.9185
22,0.9175
23,0.92
24,0.9175
25,0.9165
26,0.9225
27,0.921
28,0.9195
29,0.9235
30,0.917
31,0.9205
32,0.9165
33,0.921
34,0.913
35,0.9195
36,0.9185
37,0.914
38,0.9155
39,0.9165
40,0.916
41,0.9184592296148074
42,0.9229614807403702
43,0.9154577288644322
44,0.9189594797398699
45,0.9174174174174174
46,0.9173760640961443
47,0.9137844611528823
48,0.9177944862155388
49,0.9192982456140351
50,0.9187562688064193
51,0.921765295887663
52,0.91921726041144
53,0.9181726907630522
54,0.9121044701155199
55,0.9175050301810865
56,0.9214501510574018
57,0.9152371342078708
58,0.9167087329631499
59,0.9192327107521454
60,0.9186046511627907
61,0.9103797468354431
62,0.9148073022312373
63,0.9243270695784662
64,0.9150559511698881
65,0.9194288628250893
