Layer,PROMPT1_ACC,PROMPT2_ACC,PROMPT3_ACC,PROMPT4_ACC,PROMPT5_ACC,PROMPT6_ACC,PROMPT7_ACC,PROMPT8_ACC,PROMPT9_ACC,PROMPT10_ACC,OVERALL
0,0.371,0,1,0.172,0.966,0.413,0,0.267,0.229,0.965,0.4383
1,0,0.464,0.536,0.5,0.632,0,0,0,0,0.988,0.312
2,0,0.535,0.433,0.366,0.598,0,0,0,0.258,0.872,0.3062
3,0.285,0.257,0.398,0,0.723,0.502,0.247,0,0.246,0.863,0.3521
4,0,0,0.879,0.599,0.747,0.29,0,0,0.214,0.979,0.3708
5,0,0,0.965,0.403,0.764,0.511,0,0,0.182,0.955,0.378
6,0.367,0,0.988,0.178,0.425,0.356,0,0,0.368,0.956,0.3638
7,0,0.684,0.982,0,0.425,0,0,0.268,0.362,0.628,0.3349
8,0,0.344,0.634,0.191,0.401,0.129,0,0.118,0,0.296,0.2113
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
